NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch,dxcorr_factor
BDC1_1_12,13,1,22,X,12,-22.5,-12,0,27,0,19,1.23138
BDC1_1_13,13,1,22,X,13,-27.5,-12,0,27,0,18,1.23138
BDC1_1_14,13,1,22,X,14,-32.5,-12,0,27,0,17,1.23138
BDC1_1_15,13,1,22,X,15,-37.5,-12,0,27,0,16,1.23138
BDC1_2_0,13,2,23,Y,0,35,-7.2,0,27,1,0,9.31E-001
BDC1_2_1,13,2,23,Y,1,30,-7.2,0,27,1,1,9.31E-001
BDC1_2_2,13,2,23,Y,2,25,-7.2,0,27,1,2,9.31E-001
BDC1_2_3,13,2,23,Y,3,20,-7.2,0,27,1,3,9.31E-001
BDC1_2_4,13,2,23,Y,4,15,-7.2,0,27,1,4,9.31E-001
BDC1_2_5,13,2,23,Y,5,10,-7.2,0,27,1,5,9.31E-001
BDC1_2_6,13,2,23,Y,6,5,-7.2,0,27,1,6,9.31E-001
BDC1_2_7,13,2,23,Y,7,0,-7.2,0,27,1,7,9.31E-001
BDC1_2_8,13,2,23,Y,8,-5,-7.2,0,27,1,8,9.31E-001
BDC1_2_9,13,2,23,Y,9,-10,-7.2,0,27,1,9,9.31E-001
BDC1_2_10,13,2,23,Y,10,-15,-7.2,0,27,1,10,9.31E-001
BDC1_2_11,13,2,23,Y,11,-20,-7.2,0,27,1,11,9.31E-001
BDC1_2_12,13,2,23,Y,12,-25,-7.2,0,27,1,12,9.31E-001
BDC1_2_13,13,2,23,Y,13,-30,-7.2,0,27,1,13,9.31E-001
BDC1_2_14,13,2,23,Y,14,-35,-7.2,0,27,1,14,9.31E-001
BDC1_2_15,13,2,23,Y,15,-40,-7.2,0,27,1,15,9.31E-001
BDC1_3_0,13,3,24,Y,0,37.5,-2.4,0,27,1,31,1.43949
BDC1_3_1,13,3,24,Y,1,32.5,-2.4,0,27,1,30,1.43949
BDC1_3_2,13,3,24,Y,2,27.5,-2.4,0,27,1,29,1.43949
BDC1_3_3,13,3,24,Y,3,22.5,-2.4,0,27,1,28,1.43949
BDC1_3_4,13,3,24,Y,4,17.5,-2.4,0,27,1,27,1.43949
BDC1_3_5,13,3,24,Y,5,12.5,-2.4,0,27,1,26,1.43949
BDC1_3_6,13,3,24,Y,6,7.5,-2.4,0,27,1,25,1.43949
BDC1_3_7,13,3,24,Y,7,2.5,-2.4,0,27,1,24,1.43949
BDC1_3_8,13,3,24,Y,8,-2.5,-2.4,0,27,1,23,1.43949
BDC1_3_9,13,3,24,Y,9,-7.5,-2.4,0,27,1,22,1.43949
BDC1_3_10,13,3,24,Y,10,-12.5,-2.4,0,27,1,21,1.43949
BDC1_3_11,13,3,24,Y,11,-17.5,-2.4,0,27,1,20,1.43949
BDC1_3_12,13,3,24,Y,12,-22.5,-2.4,0,27,1,19,1.43949
BDC1_3_13,13,3,24,Y,13,-27.5,-2.4,0,27,1,18,1.43949
BDC1_3_14,13,3,24,Y,14,-32.5,-2.4,0,27,1,17,1.43949
BDC1_3_15,13,3,24,Y,15,-37.5,-2.4,0,27,1,16,1.43949
BDC1_4_0,13,4,25,X,0,35,2.4,0,27,0,32,1.17807
BDC1_4_1,13,4,25,X,1,30,2.4,0,27,0,33,1.17807
BDC1_4_2,13,4,25,X,2,25,2.4,0,27,0,34,1.17807
BDC1_4_3,13,4,25,X,3,20,2.4,0,27,0,35,1.17807
BDC1_4_4,13,4,25,X,4,15,2.4,0,27,0,36,1.17807
BDC1_4_5,13,4,25,X,5,10,2.4,0,27,0,37,1.17807
BDC1_4_6,13,4,25,X,6,5,2.4,0,27,0,38,1.17807
BDC1_4_7,13,4,25,X,7,0,2.4,0,27,0,39,1.17807
BDC1_4_8,13,4,25,X,8,-5,2.4,0,27,0,40,1.17807
BDC1_4_9,13,4,25,X,9,-10,2.4,0,27,0,41,1.17807
BDC1_4_10,13,4,25,X,10,-15,2.4,0,27,0,42,1.17807
BDC1_4_11,13,4,25,X,11,-20,2.4,0,27,0,43,1.17807
BDC1_4_12,13,4,25,X,12,-25,2.4,0,27,0,44,1.17807
BDC1_4_13,13,4,25,X,13,-30,2.4,0,27,0,45,1.17807
BDC1_4_14,13,4,25,X,14,-35,2.4,0,27,0,46,1.17807
BDC1_4_15,13,4,25,X,15,-40,2.4,0,27,0,47,1.17807
BDC1_5_0,13,5,26,X,0,37.5,7.2,0,27,0,63,7.62E-001
BDC1_5_1,13,5,26,X,1,32.5,7.2,0,27,0,62,7.62E-001
BDC1_5_2,13,5,26,X,2,27.5,7.2,0,27,0,61,7.62E-001
BDC1_5_3,13,5,26,X,3,22.5,7.2,0,27,0,60,7.62E-001
BDC1_5_4,13,5,26,X,4,17.5,7.2,0,27,0,59,7.62E-001
BDC1_5_5,13,5,26,X,5,12.5,7.2,0,27,0,58,7.62E-001
BDC1_5_6,13,5,26,X,6,7.5,7.2,0,27,0,57,7.62E-001
BDC1_5_7,13,5,26,X,7,2.5,7.2,0,27,0,56,7.62E-001
BDC1_5_8,13,5,26,X,8,-2.5,7.2,0,27,0,55,7.62E-001
BDC1_5_9,13,5,26,X,9,-7.5,7.2,0,27,0,54,7.62E-001
BDC1_5_10,13,5,26,X,10,-12.5,7.2,0,27,0,53,7.62E-001
BDC1_5_11,13,5,26,X,11,-17.5,7.2,0,27,0,52,7.62E-001
BDC1_5_12,13,5,26,X,12,-22.5,7.2,0,27,0,51,7.62E-001
BDC1_5_13,13,5,26,X,13,-27.5,7.2,0,27,0,50,7.62E-001
BDC1_5_14,13,5,26,X,14,-32.5,7.2,0,27,0,49,7.62E-001
BDC1_5_15,13,5,26,X,15,-37.5,7.2,0,27,0,48,7.62E-001
BDC1_6_0,13,6,27,Y,0,35,12,0,27,1,32,1.38999
BDC1_6_1,13,6,27,Y,1,30,12,0,27,1,33,1.38999
BDC1_6_2,13,6,27,Y,2,25,12,0,27,1,34,1.38999
BDC1_6_3,13,6,27,Y,3,20,12,0,27,1,35,1.38999
BDC1_6_4,13,6,27,Y,4,15,12,0,27,1,36,1.38999
BDC1_6_5,13,6,27,Y,5,10,12,0,27,1,37,1.38999
BDC1_6_6,13,6,27,Y,6,5,12,0,27,1,38,1.38999
BDC1_6_7,13,6,27,Y,7,0,12,0,27,1,39,1.38999
BDC1_6_8,13,6,27,Y,8,-5,12,0,27,1,40,1.38999
BDC1_6_9,13,6,27,Y,9,-10,12,0,27,1,41,1.38999
BDC1_6_10,13,6,27,Y,10,-15,12,0,27,1,42,1.38999
BDC1_6_11,13,6,27,Y,11,-20,12,0,27,1,43,1.38999
BDC1_6_12,13,6,27,Y,12,-25,12,0,27,1,44,1.38999
BDC1_6_13,13,6,27,Y,13,-30,12,0,27,1,45,1.38999
BDC1_6_14,13,6,27,Y,14,-35,12,0,27,1,46,1.38999
BDC1_6_15,13,6,27,Y,15,-40,12,0,27,1,47,1.38999
BDC1_7_0,13,7,28,Y,0,37.5,16.8,0,27,1,63,9.32E-001
BDC1_7_1,13,7,28,Y,1,32.5,16.8,0,27,1,62,9.32E-001
BDC1_7_2,13,7,28,Y,2,27.5,16.8,0,27,1,61,9.32E-001
BDC1_7_3,13,7,28,Y,3,22.5,16.8,0,27,1,60,9.32E-001
BDC1_7_4,13,7,28,Y,4,17.5,16.8,0,27,1,59,9.32E-001
BDC1_7_5,13,7,28,Y,5,12.5,16.8,0,27,1,58,9.32E-001
BDC1_7_6,13,7,28,Y,6,7.5,16.8,0,27,1,57,9.32E-001
BDC1_7_7,13,7,28,Y,7,2.5,16.8,0,27,1,56,9.32E-001
BDC1_7_8,13,7,28,Y,8,-2.5,16.8,0,27,1,55,9.32E-001
BDC1_7_9,13,7,28,Y,9,-7.5,16.8,0,27,1,54,9.32E-001
BDC1_7_10,13,7,28,Y,10,-12.5,16.8,0,27,1,53,9.32E-001
BDC1_7_11,13,7,28,Y,11,-17.5,16.8,0,27,1,52,9.32E-001
BDC1_7_12,13,7,28,Y,12,-22.5,16.8,0,27,1,51,9.32E-001
BDC1_7_13,13,7,28,Y,13,-27.5,16.8,0,27,1,50,9.32E-001
BDC1_7_14,13,7,28,Y,14,-32.5,16.8,0,27,1,49,9.32E-001
BDC1_7_15,13,7,28,Y,15,-37.5,16.8,0,27,1,48,9.32E-001
